Index,is_smoothed,is_log,shapelet_size,trigger_lookback,outcome_window,sens_deaths_1,sens_deaths_2,sens_icu_2,spec_deaths_1,spec_deaths_2,spec_icu_2
21,0,0,4,5,6,0.752019876,0.415121291,0.632967281,0.635484912,0.636213962,0.84481288
22,0,0,4,5,7,0.786351602,0.476359122,0.653879361,0.841475268,1.003640949,0.97028536
23,0,0,4,5,8,0.819437368,0.521428943,0.671562566,1.073075632,1.319129692,1.094067799
24,0,0,4,5,9,0.842633336,0.569707052,0.682647112,1.258643374,1.705354567,1.182744162
25,0,0,4,6,5,0.703018654,0.351206037,0.583157501,0.408174679,0.324544101,0.62453089
26,0,0,4,6,6,0.746700223,0.407826822,0.633830385,0.626582527,0.607648025,0.877895311
27,0,0,4,6,7,0.783172903,0.470315162,0.655459509,0.845418605,0.982578067,1.007670056
28,0,0,4,6,8,0.817714103,0.515746301,0.675905158,1.087207008,1.300596038,1.150789598
29,0,0,4,6,9,0.840141821,0.56620759,0.68899684,1.266628751,1.704286349,1.255523053
30,0,0,5,4,5,0.731846431,0.388633303,0.63505644,0.516632634,0.475864934,0.538582114
31,0,0,5,4,6,0.774961772,0.477509456,0.664204134,0.732209342,0.920245696,0.684320583
32,0,0,5,4,7,0.802381754,0.519158425,0.684799646,0.89672923,1.17013951,0.807893656
33,0,0,5,4,8,0.836340336,0.564639245,0.692550794,1.13443931,1.488505254,0.862151694
34,0,0,5,4,9,0.848125319,0.606621762,0.697026687,1.228719172,1.824365388,0.897958837
35,0,0,5,5,5,0.728027057,0.379964956,0.638409711,0.527018031,0.484315076,0.557148048
36,0,0,5,5,6,0.771284473,0.473290608,0.669020803,0.74330511,0.950943338,0.710203511
37,0,0,5,5,7,0.799751131,0.517403554,0.691096484,0.914105061,1.215621011,0.842657595
38,0,0,5,5,8,0.835063485,0.56332089,0.699457671,1.161291537,1.537042363,0.901185906
39,0,0,5,5,9,0.847827069,0.60719851,0.704428967,1.263400212,1.888063322,0.940956276
40,0,0,5,6,5,0.723251592,0.375741393,0.642045865,0.517120698,0.491369144,0.579785001
41,0,0,5,6,6,0.768745144,0.472227071,0.673624456,0.744588457,0.97379753,0.737677955
42,0,0,5,6,7,0.798376103,0.518209652,0.695614314,0.922374211,1.24969302,0.869617107
43,0,0,5,6,8,0.834554404,0.568084686,0.70834848,1.175622315,1.598818253,0.958756271
44,0,0,5,6,9,0.847983085,0.611761218,0.713647216,1.283051765,1.94823051,1.001146155
45,0,1,3,4,5,0.701217957,0.364931348,0.540157743,0.34686228,0.26162134,0.52877271
46,0,1,3,4,6,0.739395904,0.400493485,0.578839927,0.537752018,0.439432028,0.72218363
47,0,1,3,4,7,0.77594505,0.452864535,0.609410682,0.757046889,0.753658325,0.905608158
48,0,1,3,4,8,0.807987797,0.498713925,0.626846305,0.981346124,1.074604054,1.027657517
49,0,1,3,4,9,0.831550169,0.540743801,0.643810284,1.169845094,1.410843066,1.163369354
50,0,1,3,5,5,0.694931367,0.360996124,0.541056742,0.338441411,0.256421671,0.553376419
51,0,1,3,5,6,0.734856458,0.399804438,0.58492304,0.538066866,0.450463241,0.772707908
52,0,1,3,5,7,0.77281792,0.45372541,0.619494948,0.765835639,0.773989075,0.980139357
53,0,1,3,5,8,0.807613721,0.501087408,0.639620198,1.009406243,1.105523058,1.12101611
54,0,1,3,5,9,0.832650572,0.547087185,0.65769382,1.209701051,1.473521275,1.26560508
55,0,1,3,6,5,0.691797416,0.359591622,0.536388547,0.314500306,0.254086446,0.570099362
56,0,1,3,6,6,0.731000732,0.39182426,0.585145614,0.510516889,0.41524964,0.813884699
57,0,1,3,6,7,0.770146369,0.44977101,0.621720577,0.745390707,0.762930141,1.033334478
58,0,1,3,6,8,0.807181517,0.498766572,0.643605942,1.004636748,1.105899069,1.186532028
59,0,1,3,6,9,0.833092762,0.55040879,0.665116967,1.211926708,1.519036818,1.358620227
60,0,1,4,4,5,0.721956329,0.371557352,0.597035524,0.427823095,0.350735234,0.581202323
61,0,1,4,4,6,0.765989947,0.441996208,0.63736657,0.647991185,0.702929514,0.782857551
62,0,1,4,4,7,0.793560691,0.489604602,0.657101555,0.813415644,0.988579878,0.901267461
63,0,1,4,4,8,0.824467233,0.535073919,0.669166205,1.029761443,1.306865091,0.98572001
64,0,1,4,4,9,0.844082018,0.578623993,0.676604157,1.186679723,1.655265684,1.045223632
65,0,1,4,5,5,0.710721245,0.3542496,0.5921073,0.43300916,0.337064116,0.613380065
66,0,1,4,5,6,0.754253892,0.427543767,0.636886702,0.65067239,0.703534951,0.83727708
67,0,1,4,5,7,0.783652559,0.479585112,0.659005763,0.827064394,1.015783019,0.969991444
68,0,1,4,5,8,0.816128306,0.524639407,0.673590516,1.054394621,1.331163082,1.072084717
69,0,1,4,5,9,0.838865249,0.571273593,0.685504329,1.236290168,1.704236572,1.167395222
70,0,1,4,6,5,0.707303759,0.355835193,0.590930164,0.421745122,0.33846324,0.627319593
71,0,1,4,6,6,0.751410641,0.418889835,0.639403356,0.642279533,0.653736448,0.869685554
72,0,1,4,6,7,0.783545592,0.47286893,0.662343459,0.83508924,0.977611021,1.007326172
73,0,1,4,6,8,0.817200577,0.519040688,0.680408979,1.070674129,1.30081332,1.133784813
74,0,1,4,6,9,0.839624329,0.566788991,0.694113622,1.250064145,1.682799747,1.243421955
75,0,1,5,4,5,0.744538207,0.413609003,0.648622023,0.5278997,0.483973144,0.50812646
76,0,1,5,4,6,0.781860218,0.500252129,0.674998448,0.714509752,0.917188772,0.640008587
77,0,1,5,4,7,0.807632777,0.534328314,0.686780948,0.869145106,1.121645884,0.710703586
78,0,1,5,4,8,0.838592043,0.571681341,0.693794769,1.085859968,1.383117071,0.759800327
79,0,1,5,4,9,0.850091896,0.610878545,0.696923867,1.177858795,1.696694705,0.784833116
80,0,1,5,5,5,0.739723438,0.400451552,0.650883129,0.53612382,0.489549812,0.525699861
81,0,1,5,5,6,0.777189162,0.494598913,0.680786247,0.723452438,0.960286616,0.675215452
82,0,1,5,5,7,0.803517808,0.529406425,0.694771176,0.881424316,1.169131688,0.75912503
83,0,1,5,5,8,0.836530613,0.567783474,0.701710929,1.11251395,1.437771034,0.807703299
